"speaker","word","word.total","speaker.total","speaker.word","E1","E2","LL"
"Kyle","bastard",73,31264,24,6.15270476467766,66.8472952353223,34.8979048591649
"Kyle","chef",418,31264,73,35.2305560497981,382.769443950202,34.6846595231625
"Kyle","didnt",827,31264,121,69.7025594573756,757.297440542624,34.4370560268153
"Kyle","dont",4530,31264,495,381.804829917668,4148.19517008233,33.7787130244989
"Kyle","play",568,31264,89,47.873100086807,520.126899913193,31.4621148705417
"Kyle","dad",770,31264,112,64.8983927233123,705.101607276688,31.2471548581669
"Kyle","stan dont",35,31264,14,2.94992694196874,32.0500730580313,25.8471188441453
"Kyle","jewish",79,31264,22,6.65840652615801,72.341593473842,25.4154689368649
"Kyle","giant douche",36,31264,14,3.03421056888213,32.9657894311179,25.0201423401936
"Kyle","really",1695,31264,201,142.8607476182,1552.1392523818,23.1836453108744
"Kyle","isnt",724,31264,100,61.0213458852962,662.978654114704,23.1699432061071
"Kyle","babies",63,31264,18,5.30986849554373,57.6901315044563,21.590841362012
"Kyle","totally",257,31264,45,21.6608921167419,235.339107883258,21.520791839597
"Kyle","mom dad",95,31264,23,8.00694455677229,86.9930554432277,21.2991560851645
"Kyle","cant",1912,31264,220,161.150294658407,1750.84970534159,21.2688411163686
"Kyle","kennys",135,31264,28,11.378289633308,123.621710366692,19.526821856935
"Kyle","hoh",95,31264,22,8.00694455677229,86.9930554432277,18.8684092530324
"Kyle","stan stan",64,31264,17,5.39415212245712,58.6058478775429,18.2839621931102
"Kyle","even",697,31264,91,58.7456879586346,638.254312041365,16.8003257856007
"Kyle","arent",342,31264,52,28.8250004043802,313.17499959562,16.7689614274055
"Kyle","something",900,31264,112,75.8552642220533,824.144735777947,16.6059093739413
"Kyle","learned something",39,31264,12,3.28706144962231,35.7129385503777,15.9753900517948
"Kyle","douche",84,31264,19,7.07982466072497,76.920175339275,15.6236928715357
"Kyle","lying",86,31264,19,7.24839191455176,78.7516080854482,14.96384042806
"Kyle","whats",1039,31264,124,87.5706883630148,951.429311636985,14.8175086071175
"Kyle","doesnt",585,31264,77,49.3059217443346,535.694078255665,14.7161198048041
"Kyle","retarded",42,31264,12,3.53991233036249,38.4600876696375,14.3938942413413
"Kyle","made",574,31264,75,48.3788018482873,525.621198151713,13.8932035737321
"Kyle","hes",1339,31264,152,112.855776437033,1226.14422356297,13.4967622031508
"Kyle","hey look",64,31264,15,5.39415212245712,58.6058478775429,13.1386529493407
"Kyle","wallmart",78,31264,17,6.57412289924462,71.4258771007554,13.0525175294305
"Kyle","tweek",130,31264,24,10.956871498741,119.043128501259,13.0342651283832
"Kyle","stop",883,31264,105,74.4224425645256,808.577557435474,12.2986682908728
"Kyle","yeah know",60,31264,14,5.05701761480355,54.9429823851965,12.167631705544
"Kyle","hey stan",47,31264,12,3.96133046492945,43.0386695350706,12.1272750071642
"Kyle","uuuh",29,31264,9,2.44422518048838,26.5557748195116,12.1223369637554
"Kyle","terrance phillip",150,31264,26,12.6425440370089,137.357455962991,12.121830634628
"Kyle","stan im",35,31264,10,2.94992694196874,32.0500730580313,11.9949118677844
"Kyle","going",1612,31264,176,135.865206584389,1476.13479341561,11.9365656296679
"Kyle","screwed",54,31264,13,4.5513158533232,49.4486841466768,11.9240599007906
"Kyle","maybe",693,31264,85,58.408553450981,634.591446549019,11.7293887926524
"Kyle","whole",354,31264,49,29.836403927341,324.163596072659,11.4456339811429
"Kyle","yeah youre",37,31264,10,3.11849419579552,33.8815058042045,11.0449445516888
"Kyle","students",168,31264,4,14.1596493214499,153.84035067855,-10.863127739364
"Kyle","hooray",98,31264,1,8.25979543751247,89.7402045624875,-10.8688674569555
"Kyle","silly",62,31264,0,5.22558486863034,56.7744151313697,-10.9158534479035
"Kyle","run",264,31264,9,22.2508775051356,241.749122494864,-10.922327083435
"Kyle","dumb",189,31264,5,15.9296054866312,173.070394513369,-10.9479270941661
"Kyle","cancer",99,31264,1,8.34407906442586,90.6559209355741,-11.0245561367618
"Kyle","japanese",99,31264,1,8.34407906442586,90.6559209355741,-11.0245561367618
"Kyle","gentlemen",148,31264,3,12.4739767831821,135.526023216818,-11.0451255419066
"Kyle","boss",63,31264,0,5.30986849554373,57.6901315044563,-11.0919474450824
"Kyle","chaos",63,31264,0,5.30986849554373,57.6901315044563,-11.0919474450824
"Kyle","fall",63,31264,0,5.30986849554373,57.6901315044563,-11.0919474450824
"Kyle","yeah yeah yeah",63,31264,0,5.30986849554373,57.6901315044563,-11.0919474450824
"Kyle","state",100,31264,1,8.42836269133925,91.5716373086607,-11.1804509702562
"Kyle","bit",126,31264,2,10.6197369910875,115.380263008913,-11.1896995266784
"Kyle","incredible",64,31264,0,5.39415212245712,58.6058478775429,-11.2680414926582
"Kyle","two",671,31264,34,56.5543136588864,614.445686341114,-11.3253903710256
"Kyle","question",127,31264,2,10.7040206180009,116.295979381999,-11.3339233707419
"Kyle","move",250,31264,8,21.0709067283481,228.929093271652,-11.3790694394606
"Kyle","stan marsh",65,31264,0,5.47843574937052,59.5215642506295,-11.444135589068
"Kyle","lets",1394,31264,84,117.491375917269,1276.50862408273,-11.4817827850158
"Kyle","great",749,31264,39,63.128436558131,685.871563441869,-11.5303558215473
"Kyle","ive got",214,31264,6,18.036696159466,195.963303840534,-11.5902492670848
"Kyle","honor",66,31264,0,5.56271937628391,60.4372806237161,-11.6202297328208
