"Stan","Kyle","Chef","Mrs..Garrison","Cartman","Jimbo","Gerald","Mr..Mackey","Randy","Kenny","Butters","Stephen","Craig","Sheila","Announcer","Sharon","Wendy","Principal.Victoria","Jesus","Liane","Jimmy","Narrator","Reporter","Satan","Mr..Garrison","Michael","Mayor","All.others","word"
5,4,3,0,10,1,1,2,4,0,3,1,0,0,2,4,1,1,1,2,2,0,0,0,3,0,0,77,"amazing"
0,2,0,0,1,1,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,"amazon"
19,15,0,0,25,2,2,0,21,0,5,0,0,0,5,1,0,1,0,0,0,0,4,0,7,0,0,106,"america"
6,7,1,0,25,3,1,0,3,1,1,0,0,0,0,0,1,1,0,0,0,5,1,1,4,0,0,80,"american"
6,6,0,0,5,0,0,0,6,0,0,0,0,1,2,3,0,0,0,0,0,3,0,0,0,0,0,66,"americans"
6,2,0,0,4,0,0,1,2,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,20,"ancient"
4,0,1,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,16,"angels"
6,4,1,0,9,0,0,0,4,1,8,0,0,1,1,0,0,1,0,1,2,1,1,0,0,0,0,38,"angry"
9,6,0,0,2,6,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,35,"animals"
0,1,0,2,2,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,"annie"
1,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,4,"announcement"
1,1,0,0,5,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,"announcements"
27,24,4,4,66,5,4,2,17,0,17,6,0,1,8,1,1,1,1,4,2,2,4,1,10,0,3,231,"another"
4,7,0,0,7,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,"another one"
12,1,1,1,15,2,4,1,4,0,6,2,1,2,2,3,1,0,2,1,0,0,0,1,5,0,2,63,"answer"
25,22,0,3,30,1,3,2,21,1,11,2,1,0,1,3,1,2,2,1,2,0,0,1,6,1,0,72,"anybody"
0,2,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2,"anybody else"
46,42,2,3,45,2,3,3,18,0,14,4,1,3,0,8,2,0,2,2,0,0,0,2,7,1,0,108,"anymore"
9,9,1,2,26,1,2,3,8,0,3,1,0,0,1,0,0,4,0,0,1,0,1,0,4,3,0,72,"anyone"
69,59,10,3,72,6,5,11,29,3,21,7,1,3,3,6,6,1,1,4,4,0,0,0,6,2,3,182,"anything"
0,2,1,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"anything else"
13,19,5,2,14,0,0,2,5,0,4,0,0,0,0,3,0,1,1,1,2,0,0,0,9,1,0,56,"anyway"
6,8,0,1,6,1,2,0,1,0,6,1,0,0,2,1,0,1,0,2,0,0,0,0,0,0,1,30,"anywhere"
1,2,1,0,5,0,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,16,"apart"
1,3,1,1,7,0,2,0,2,0,1,0,0,1,0,1,4,3,1,2,0,0,0,0,1,0,0,20,"apologize"
0,4,0,0,8,0,1,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,"apology"
4,1,1,1,13,0,0,7,1,0,2,0,0,2,0,0,0,4,1,1,4,0,7,0,4,0,1,50,"apparently"
1,1,0,0,7,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,24,"appear"
0,0,0,0,2,1,0,1,0,1,1,0,0,1,7,0,0,0,0,1,0,1,3,0,1,0,0,67,"appears"
1,2,0,0,3,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21,"apple"
2,2,1,0,1,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,16,"appreciate"
0,0,0,0,6,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,3,0,1,0,32,"area"
33,52,2,0,39,1,5,4,15,2,13,2,0,1,0,5,7,3,1,3,5,0,0,0,3,3,1,142,"arent"
4,5,0,0,5,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,"arent gonna"
1,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,13,"arm"
2,4,0,0,8,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,3,1,0,1,1,0,23,"arms"
4,0,0,0,7,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,2,0,1,0,2,0,21,"army"
36,54,14,3,92,4,3,7,19,2,15,6,1,5,7,3,2,4,6,4,4,3,1,3,12,2,2,248,"around"
7,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,15,"art"
1,4,0,0,4,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,9,"ashamed"
1,0,0,0,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,"asian"
27,22,6,1,32,0,0,3,5,0,7,2,1,1,0,3,0,2,0,0,2,0,0,0,3,1,1,94,"ask"
8,1,5,0,13,3,0,3,2,1,5,0,1,0,0,1,2,1,1,1,0,0,2,2,3,0,0,50,"asked"
6,4,0,0,14,0,0,2,2,0,4,0,2,0,0,0,3,0,0,0,0,0,1,0,2,1,2,35,"asking"
0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,10,"aspen"
70,62,12,2,144,3,6,3,17,6,6,0,5,0,2,2,7,0,1,1,4,1,1,1,20,0,0,159,"ass"
5,3,3,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,14,"asses"
20,33,5,1,87,0,1,0,7,4,3,0,3,0,0,0,3,0,0,0,0,0,1,1,1,0,1,68,"asshole"
6,3,0,2,37,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,"assholes"
6,3,0,0,9,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,11,"ate"
4,3,0,0,9,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,1,1,1,0,1,0,42,"attack"
0,3,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,"attend"
10,10,2,0,15,0,0,9,3,0,1,0,0,1,3,2,0,4,3,0,2,0,3,0,13,0,2,66,"attention"
