"speaker","word","word.total","speaker.total","speaker.word","E1","E2","LL","direction","ngram"
"CARTMAN","hello",410,28206,50,67.1302439788935,342.869756021107,5.64126435086791,"LOW",1
"CARTMAN","father",154,28206,15,25.2147745676819,128.785225432318,5.63774082634167,"LOW",1
"CARTMAN","gay",215,28206,23,35.2024450133222,179.797554986678,5.63633691827489,"LOW",1
"CARTMAN","barbrady",80,28206,6,13.0985841910036,66.9014158089964,5.55611842060746,"LOW",1
"CARTMAN","marsh",80,28206,6,13.0985841910036,66.9014158089964,5.55611842060746,"LOW",1
"CARTMAN","nothin",71,28206,5,11.6249934695157,59.3750065304843,5.52594602558623,"LOW",1
"CARTMAN","enough",161,28206,16,26.3609006843948,134.639099315605,5.52202484603658,"LOW",1
"CARTMAN","name",161,28206,16,26.3609006843948,134.639099315605,5.52202484603658,"LOW",1
"CARTMAN","blaine",31,28206,1,5.0757013740139,25.9242986259861,5.51207147827528,"LOW",1
"CARTMAN","chinese",31,28206,1,5.0757013740139,25.9242986259861,5.51207147827528,"LOW",1
"CARTMAN","football",31,28206,1,5.0757013740139,25.9242986259861,5.51207147827528,"LOW",1
"CARTMAN","kid",280,28206,32,45.8450446685126,234.154955331487,5.48304362227152,"LOW",1
"CARTMAN","silly",42,28206,2,6.87675670027689,35.1232432997231,5.4613074408253,"LOW",1
"CARTMAN","stop",386,28206,47,63.2006687215924,322.799331278408,5.36142213307635,"LOW",1
"CARTMAN","sit",104,28206,9,17.0281594483047,86.9718405516953,5.29798543958011,"LOW",1
"CARTMAN","place",167,28206,17,27.34329449872,139.65670550128,5.27562455864036,"LOW",1
"CARTMAN","dangerous",30,28206,1,4.91196907162635,25.0880309283736,5.22113748671236,"LOW",1
"CARTMAN","pain",41,28206,2,6.71302439788935,34.2869756021107,5.20248496647369,"LOW",1
"CARTMAN","somethin",41,28206,2,6.71302439788935,34.2869756021107,5.20248496647369,"LOW",1
"CARTMAN","mayor",103,28206,9,16.8644271459171,86.1355728540829,5.12231753893981,"LOW",1
"CARTMAN","john",60,28206,4,9.8239381432527,50.1760618567473,5.11090520961908,"LOW",1
"CARTMAN","quite",60,28206,4,9.8239381432527,50.1760618567473,5.11090520961908,"LOW",1
"CARTMAN","class",86,28206,7,14.0809780053289,71.9190219946711,5.05251038608959,"LOW",1
"CARTMAN","evil",86,28206,7,14.0809780053289,71.9190219946711,5.05251038608959,"LOW",1
"CARTMAN","debate",29,28206,1,4.74823676923881,24.2517632307612,4.9325036684233,"LOW",1
"CARTMAN","elementary",29,28206,1,4.74823676923881,24.2517632307612,4.9325036684233,"LOW",1
"CARTMAN","incredible",29,28206,1,4.74823676923881,24.2517632307612,4.9325036684233,"LOW",1
"CARTMAN","certainly",59,28206,4,9.66020584086516,49.3397941591348,4.89248229923251,"LOW",1
"CARTMAN","love",360,28206,44,58.9436288595162,301.056371140484,4.88655398270439,"LOW",1
"CARTMAN","something",388,28206,48,63.5281333263675,324.471866673633,4.88075545373223,"LOW",1
"CARTMAN","mrs",85,28206,7,13.9172457029413,71.0827542970587,4.86573500272722,"LOW",1
"CARTMAN","read",85,28206,7,13.9172457029413,71.0827542970587,4.86573500272722,"LOW",1
"CARTMAN","blanket",49,28206,3,8.02288281698971,40.9771171830103,4.73562635049077,"LOW",1
"CARTMAN","students",49,28206,3,8.02288281698971,40.9771171830103,4.73562635049077,"LOW",1
"CARTMAN","front",67,28206,5,10.9700642599655,56.0299357400345,4.69746332757145,"LOW",1
"CARTMAN","form",39,28206,2,6.38555979311426,32.6144402068857,4.69247715687704,"LOW",1
"CARTMAN","nooo",39,28206,2,6.38555979311426,32.6144402068857,4.69247715687704,"LOW",1
"CARTMAN","slave",39,28206,2,6.38555979311426,32.6144402068857,4.69247715687704,"LOW",1
"CARTMAN","drink",58,28206,4,9.49647353847761,48.5035264615224,4.67652510069378,"LOW",1
"CARTMAN","fly",28,28206,1,4.58450446685126,23.4154955331487,4.64633442285089,"LOW",1
"CARTMAN","uuuh",28,28206,1,4.58450446685126,23.4154955331487,4.64633442285089,"LOW",1
"CARTMAN","winner",28,28206,1,4.58450446685126,23.4154955331487,4.64633442285089,"LOW",1
"CARTMAN","live",192,28206,21,31.4366020584087,160.563397941591,4.59242492469028,"LOW",1
"CARTMAN","forget",75,28206,6,12.2799226790659,62.7200773209341,4.57416173119248,"LOW",1
"CARTMAN","grandpa",48,28206,3,7.85915051460216,40.1408494853978,4.50572111110787,"LOW",1
"CARTMAN","minutes",48,28206,3,7.85915051460216,40.1408494853978,4.50572111110787,"LOW",1
"CARTMAN","trouble",83,28206,7,13.5897810981662,69.4102189018338,4.49857245299413,"LOW",1
"CARTMAN","made",278,28206,33,45.5175800637375,232.482419936262,4.47235447821114,"LOW",1
"CARTMAN","white",91,28206,8,14.8996395172666,76.1003604827334,4.45641495243066,"LOW",1
"CARTMAN","couple",38,28206,2,6.22182749072671,31.7781725092733,4.44156243955264,"LOW",1
"CARTMAN","insane",27,28206,1,4.42077216446372,22.5792278355363,4.36281243191302,"LOW",1
"CARTMAN","ship",27,28206,1,4.42077216446372,22.5792278355363,4.36281243191302,"LOW",1
"CARTMAN","states",27,28206,1,4.42077216446372,22.5792278355363,4.36281243191302,"LOW",1
"CARTMAN","change",114,28206,11,18.6654824721801,95.3345175278199,4.29825603226621,"LOW",1
"CARTMAN","youve",262,28206,31,42.8978632255368,219.102136774463,4.29066835393027,"LOW",1
"CARTMAN","anyway",90,28206,8,14.7359072148791,75.264092785121,4.28390712675306,"LOW",1
"CARTMAN","end",106,28206,10,17.3556240530798,88.6443759469202,4.27876531883726,"LOW",1
"CARTMAN","strange",37,28206,2,6.05809518833917,30.9419048116608,4.19357276910556,"LOW",1
"CARTMAN","aint",81,28206,7,13.2623164933912,67.7376835066088,4.14029034219144,"LOW",1
"CARTMAN","book",81,28206,7,13.2623164933912,67.7376835066088,4.14029034219144,"LOW",1
